,full_path,im_path,set_name,label
0,dataset/100/img-2011-07-01-0955-1.JPG,100/img-2011-07-01-0955-1.JPG,100,discard
1,dataset/100/img-2011-07-01-0955.JPG,100/img-2011-07-01-0955.JPG,100,keep
2,dataset/101/img-2011-07-01-1103-1.JPG,101/img-2011-07-01-1103-1.JPG,101,discard
3,dataset/101/img-2011-07-01-1103-2.JPG,101/img-2011-07-01-1103-2.JPG,101,discard
4,dataset/101/img-2011-07-01-1103-3.JPG,101/img-2011-07-01-1103-3.JPG,101,keep
5,dataset/101/img-2011-07-01-1103-4.JPG,101/img-2011-07-01-1103-4.JPG,101,discard
6,dataset/101/img-2011-07-01-1103-5.JPG,101/img-2011-07-01-1103-5.JPG,101,discard
7,dataset/101/img-2011-07-01-1103.JPG,101/img-2011-07-01-1103.JPG,101,discard
8,dataset/102/img-2011-07-01-1103-6.JPG,102/img-2011-07-01-1103-6.JPG,102,keep
9,dataset/102/img-2011-07-01-1103-7.JPG,102/img-2011-07-01-1103-7.JPG,102,discard
10,dataset/103/img-2011-07-01-1126-1.JPG,103/img-2011-07-01-1126-1.JPG,103,discard
11,dataset/103/img-2011-07-01-1126-2.JPG,103/img-2011-07-01-1126-2.JPG,103,keep
12,dataset/103/img-2011-07-01-1126-3.JPG,103/img-2011-07-01-1126-3.JPG,103,discard
13,dataset/103/img-2011-07-01-1126-5.JPG,103/img-2011-07-01-1126-5.JPG,103,keep
14,dataset/103/img-2011-07-01-1126.JPG,103/img-2011-07-01-1126.JPG,103,discard
15,dataset/103/img-2011-07-01-1127-1.JPG,103/img-2011-07-01-1127-1.JPG,103,discard
16,dataset/103/img-2011-07-01-1127.JPG,103/img-2011-07-01-1127.JPG,103,discard
17,dataset/104/img-2011-07-01-1224-1.JPG,104/img-2011-07-01-1224-1.JPG,104,discard
18,dataset/104/img-2011-07-01-1224-2.JPG,104/img-2011-07-01-1224-2.JPG,104,discard
19,dataset/104/img-2011-07-01-1224-3.JPG,104/img-2011-07-01-1224-3.JPG,104,keep
20,dataset/105/img-2011-07-01-1228.JPG,105/img-2011-07-01-1228.JPG,105,discard
21,dataset/105/img-2011-07-01-1229-1.JPG,105/img-2011-07-01-1229-1.JPG,105,discard
22,dataset/105/img-2011-07-01-1229-2.JPG,105/img-2011-07-01-1229-2.JPG,105,discard
23,dataset/105/img-2011-07-01-1229.JPG,105/img-2011-07-01-1229.JPG,105,keep
24,dataset/106/img-2011-07-01-1629-1.JPG,106/img-2011-07-01-1629-1.JPG,106,keep
25,dataset/106/img-2011-07-01-1629-2.JPG,106/img-2011-07-01-1629-2.JPG,106,discard
26,dataset/106/img-2011-07-01-1629-3.JPG,106/img-2011-07-01-1629-3.JPG,106,discard
27,dataset/106/img-2011-07-01-1629.JPG,106/img-2011-07-01-1629.JPG,106,discard
28,dataset/107/img-2011-07-01-1630-1.JPG,107/img-2011-07-01-1630-1.JPG,107,discard
29,dataset/107/img-2011-07-01-1630.JPG,107/img-2011-07-01-1630.JPG,107,discard
30,dataset/107/img-2011-07-01-1631-1.JPG,107/img-2011-07-01-1631-1.JPG,107,discard
31,dataset/107/img-2011-07-01-1631-2.JPG,107/img-2011-07-01-1631-2.JPG,107,discard
32,dataset/107/img-2011-07-01-1631.JPG,107/img-2011-07-01-1631.JPG,107,discard
33,dataset/107/img-2011-07-01-1633-1.JPG,107/img-2011-07-01-1633-1.JPG,107,discard
34,dataset/107/img-2011-07-01-1633-2.JPG,107/img-2011-07-01-1633-2.JPG,107,discard
35,dataset/107/img-2011-07-01-1633-3.JPG,107/img-2011-07-01-1633-3.JPG,107,keep
36,dataset/107/img-2011-07-01-1633.JPG,107/img-2011-07-01-1633.JPG,107,discard
37,dataset/108/img-2011-07-04-1406-1.JPG,108/img-2011-07-04-1406-1.JPG,108,discard
38,dataset/108/img-2011-07-04-1406-2.JPG,108/img-2011-07-04-1406-2.JPG,108,keep
39,dataset/108/img-2011-07-04-1406.JPG,108/img-2011-07-04-1406.JPG,108,discard
40,dataset/109/img-2011-07-04-1516-1.JPG,109/img-2011-07-04-1516-1.JPG,109,keep
